request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"The full amount of IDR 15,656,000.00 can be paid on 2025-08-03 while keeping the IDR 24,768,300.00 minimum balance protected."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"The full amount of ZAR 6,670.00 can be paid on 2026-07-05 while keeping the ZAR 20,500.00 minimum balance protected."
request_28,317.06,affordable_later,wait,2024-06-15:1302.4,2024-06-15,none,"Insufficient funds today; EUR 317.06 is safely available now. Wait until 2024-06-15 when projected cash flow supports the full EUR 1,302.40 above the EUR 1,100.00 minimum balance."
request_29,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-23. Only ZAR 0.00 is safely available now; none of the available options keeps the ZAR 28,300.00 minimum protected while covering the full ZAR 51,524.00."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"The USD 775.20 is best paid in 3 installments (2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74), each timed to when the balance can safely absorb the payment above USD 900.00."
request_31,2763097.34,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Insufficient funds today; IDR 2,763,097.34 is safely available now. Wait until 2024-09-15 when projected cash flow supports the full IDR 18,164,000.00 above the IDR 16,588,900.00 minimum balance."
request_32,13136.23,affordable_later,wait,2025-02-15:40018,2025-02-15,none,"Insufficient funds today; ZAR 13,136.23 is safely available now. Wait until 2025-02-15 when projected cash flow supports the full ZAR 40,018.00 above the ZAR 35,700.00 minimum balance."
request_33,41107.07,affordable_later,wait,2026-01-15:118000,2026-01-15,none,"Insufficient funds today; INR 41,107.07 is safely available now. Wait until 2026-01-15 when projected cash flow supports the full INR 118,000.00 above the INR 102,100.00 minimum balance."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"The full amount of INR 129,400.00 can be paid on 2024-12-04 while keeping the INR 138,500.00 minimum balance protected."
request_35,24540.92,affordable_later,wait,2025-12-15:212000,2025-12-15,none,"Insufficient funds today; INR 24,540.92 is safely available now. Wait until 2025-12-15 when projected cash flow supports the full INR 212,000.00 above the INR 106,400.00 minimum balance."
request_36,582.76,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. Only USD 582.76 is safely available now; none of the available options keeps the USD 2,400.00 minimum protected while covering the full USD 3,954.00."
request_37,4877088.31,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,"Insufficient funds today; IDR 4,877,088.31 is safely available now. Wait until 2024-03-15 when projected cash flow supports the full IDR 14,649,000.00 above the IDR 17,056,200.00 minimum balance."
request_38,154.33,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Insufficient funds today; EUR 154.33 is safely available now. Wait until 2025-09-15 when projected cash flow supports the full EUR 971.30 above the EUR 400.00 minimum balance.
request_39,65120.27,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Insufficient funds today; INR 65,120.27 is safely available now. Wait until 2026-04-15 when projected cash flow supports the full INR 208,600.00 above the INR 213,400.00 minimum balance."
request_40,349.94,affordable_later,wait,2024-06-15:1290.3,2024-06-15,none,"Insufficient funds today; EUR 349.94 is safely available now. Wait until 2024-06-15 when projected cash flow supports the full EUR 1,290.30 above the EUR 1,500.00 minimum balance."
request_41,10714658.18,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Insufficient funds today; IDR 10,714,658.18 is safely available now. Wait until 2025-11-15 when projected cash flow supports the full IDR 38,760,000.00 above the IDR 25,366,600.00 minimum balance."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"The full amount of INR 52,100.00 can be paid on 2026-01-05 while keeping the INR 113,100.00 minimum balance protected."
request_43,5266517.2,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Insufficient funds today; IDR 5,266,517.20 is safely available now. Wait until 2024-10-15 when projected cash flow supports the full IDR 43,339,000.00 above the IDR 21,398,000.00 minimum balance."
request_44,29750.66,affordable_later,wait,2025-02-15:95800,2025-02-15,none,"Insufficient funds today; INR 29,750.66 is safely available now. Wait until 2025-02-15 when projected cash flow supports the full INR 95,800.00 above the INR 82,900.00 minimum balance."
request_45,2674298.48,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Insufficient funds today; IDR 2,674,298.48 is safely available now. Wait until 2026-08-15 when projected cash flow supports the full IDR 21,983,000.00 above the IDR 11,149,800.00 minimum balance."
request_46,40809.13,affordable_with_plan,partial_payment,2024-12-03:40809.13|2024-12-03:8640.87,2024-12-03,none,"Pay INR 40,809.13 immediately and the remainder by 2024-12-03, keeping the INR 84,000.00 minimum protected at every step."
request_47,26557241.83,not_affordable,not_recommended,none,2025-05-05,none,"Do not make this payment by 2025-06-19. Only IDR 26,557,241.83 is safely available now; none of the available options keeps the IDR 30,049,000.00 minimum protected while covering the full IDR 38,114,000.00."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"The full amount of INR 45,700.00 can be paid on 2026-07-25 while keeping the INR 71,300.00 minimum balance protected."
request_49,13315800.8,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-15,none,"The IDR 34,333,000.00 is best paid in 3 installments (2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67), each timed to when the balance can safely absorb the payment above IDR 20,275,700.00."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"The full amount of INR 43,900.00 can be paid on 2025-08-06 while keeping the INR 99,700.00 minimum balance protected."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"The full amount of IDR 2,191,000.00 can be paid on 2026-01-03 while keeping the IDR 7,811,000.00 minimum balance protected."
request_52,15043.32,not_affordable,not_recommended,none,2024-06-05,none,"Do not make this payment by 2024-07-09. Only INR 15,043.32 is safely available now; none of the available options keeps the INR 41,500.00 minimum protected while covering the full INR 28,870.00."
request_53,475.46,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,"The USD 1,699.20 is best paid in 3 installments (2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06), each timed to when the balance can safely absorb the payment above USD 2,100.00."
request_54,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. Only ZAR 0.00 is safely available now; none of the available options keeps the ZAR 37,000.00 minimum protected while covering the full ZAR 121,528.00."
request_55,121593.59,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"The INR 218,600.00 is best paid in 3 installments (2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33), each timed to when the balance can safely absorb the payment above INR 124,300.00."
request_56,580.24,affordable_with_plan,partial_payment,2025-02-03:580.24|2025-02-03:301.32,2025-02-03,none,"Pay USD 580.24 immediately and the remainder by 2025-02-03, keeping the USD 2,100.00 minimum protected at every step."
request_57,9870.05,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Insufficient funds today; ZAR 9,870.05 is safely available now. Wait until 2026-05-15 when projected cash flow supports the full ZAR 61,446.00 above the ZAR 42,700.00 minimum balance."
request_58,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-25. Only IDR 0.00 is safely available now; none of the available options keeps the IDR 14,433,900.00 minimum protected while covering the full IDR 16,226,000.00."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"The INR 140,600.00 is best paid in 3 installments (2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33), each timed to when the balance can safely absorb the payment above INR 132,600.00."
request_60,184.22,not_affordable,not_recommended,none,2026-01-06,none,Do not make this payment by 2026-03-04. Only USD 184.22 is safely available now; none of the available options keeps the USD 400.00 minimum protected while covering the full USD 199.89.
request_61,8042.33,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"The ZAR 29,062.00 is best paid in 3 installments (2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83), each timed to when the balance can safely absorb the payment above ZAR 36,700.00."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"The full amount of USD 404.23 can be paid on 2025-08-05 while keeping the USD 1,300.00 minimum balance protected."
request_63,56640.39,affordable_with_plan,partial_payment,2026-07-07:56640.39|2026-09-15:287259.61,2026-09-15,none,"Pay INR 56,640.39 immediately and the remainder by 2026-09-15, keeping the INR 153,500.00 minimum protected at every step."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. Only INR 0.00 is safely available now; none of the available options keeps the INR 36,100.00 minimum protected while covering the full INR 63,700.00."
request_65,5037.64,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. Only ZAR 5,037.64 is safely available now; none of the available options keeps the ZAR 15,500.00 minimum protected while covering the full ZAR 54,340.00."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"The full amount of INR 22,200.00 can be paid on 2026-04-03 while keeping the INR 80,700.00 minimum balance protected."
request_67,310.04,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Insufficient funds today; USD 310.04 is safely available now. Wait until 2024-09-15 when projected cash flow supports the full USD 2,094.00 above the USD 1,200.00 minimum balance."
request_68,1483.66,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-07,none,"The USD 2,091.60 is best paid in 3 installments (2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09), each timed to when the balance can safely absorb the payment above USD 1,500.00."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,The full amount of EUR 529.10 can be paid on 2026-01-04 while keeping the EUR 700.00 minimum balance protected.
request_70,35671.67,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Insufficient funds today; INR 35,671.67 is safely available now. Wait until 2025-01-15 when projected cash flow supports the full INR 243,900.00 above the INR 115,000.00 minimum balance."
request_71,666149.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-28. Only IDR 666,149.69 is safely available now; none of the available options keeps the IDR 8,884,800.00 minimum protected while covering the full IDR 21,451,000.00."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"The full amount of ZAR 11,330.00 can be paid on 2026-07-05 while keeping the ZAR 12,200.00 minimum balance protected."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"The full amount of INR 71,400.00 can be paid on 2023-01-20 while keeping the INR 103,200.00 minimum balance protected."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"The full amount of ZAR 5,010.00 can be paid on 2025-08-04 while keeping the ZAR 21,900.00 minimum balance protected."
request_75,0.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,none,"The ZAR 28,270.00 is best paid in 3 installments (2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27), each timed to when the balance can safely absorb the payment above ZAR 39,000.00."
request_76,474.63,not_affordable,not_recommended,none,2024-07-24,none,"Do not make this payment by 2024-07-30. Only USD 474.63 is safely available now; none of the available options keeps the USD 1,800.00 minimum protected while covering the full USD 4,455.60."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"The full amount of INR 60,700.00 can be paid on 2025-11-05 while keeping the INR 82,200.00 minimum balance protected."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"The full amount of INR 50,200.00 can be paid on 2025-10-02 while keeping the INR 55,200.00 minimum balance protected."
request_79,348.41,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-01. Only EUR 348.41 is safely available now; none of the available options keeps the EUR 1,000.00 minimum protected while covering the full EUR 2,151.60."
request_80,100548.46,not_affordable,not_recommended,none,2025-02-24,none,"Do not make this payment by 2025-02-21. Only INR 100,548.46 is safely available now; none of the available options keeps the INR 121,300.00 minimum protected while covering the full INR 217,500.00."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"The full amount of USD 2,076.00 can be paid on 2026-07-03 while keeping the USD 1,600.00 minimum balance protected."
request_82,391.93,affordable_later,wait,2024-12-15:1405.2,2024-12-15,none,"Insufficient funds today; USD 391.93 is safely available now. Wait until 2024-12-15 when projected cash flow supports the full USD 1,405.20 above the USD 1,100.00 minimum balance."
request_83,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-17. Only INR 0.00 is safely available now; none of the available options keeps the INR 37,800.00 minimum protected while covering the full INR 156,200.00."
request_84,37390.12,affordable_later,wait,2026-04-15:95400,2026-04-15,none,"Insufficient funds today; INR 37,390.12 is safely available now. Wait until 2026-04-15 when projected cash flow supports the full INR 95,400.00 above the INR 91,300.00 minimum balance."
request_85,711335.51,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-26. Only IDR 711,335.51 is safely available now; none of the available options keeps the IDR 6,396,300.00 minimum protected while covering the full IDR 19,304,000.00."
